Repository Name,Repository URL,Java Usage (%),Commit Count
commons-functor,https://github.com/apache/commons-functor,99.99,898
commons-imaging,https://github.com/apache/commons-imaging,99.44,2776
commons-jci,https://github.com/apache/commons-jci,99.94,926
commons-chain,https://github.com/apache/commons-chain,97.72,714
commons-dbutils,https://github.com/apache/commons-dbutils,99.97,1331
commons-digester,https://github.com/apache/commons-digester,99.64,2830
commons-bcel,https://github.com/apache/commons-bcel,95.17,3044
commons-vfs,https://github.com/apache/commons-vfs,99.90,4247
metamodel,https://github.com/apache/metamodel,99.99,893
manifoldcf-integration-solr-3.x,https://github.com/apache/manifoldcf-integration-solr-3.x,100.00,2141
manifoldcf-integration-solr-4.x,https://github.com/apache/manifoldcf-integration-solr-4.x,100.00,3376
incubator-sentry,https://github.com/apache/incubator-sentry,96.94,713
commons-weaver,https://github.com/apache/commons-weaver,99.65,599
incubator-batchee,https://github.com/apache/incubator-batchee,99.74,273
velocity-engine,https://github.com/apache/velocity-engine,98.88,4476
velocity-tools,https://github.com/apache/velocity-tools,99.42,1853
uima-uimaj,https://github.com/apache/uima-uimaj,99.07,9020
uima-addons,https://github.com/apache/uima-addons,98.32,115
uima-sandbox,https://github.com/apache/uima-sandbox,95.26,2324
uima-uimafit,https://github.com/apache/uima-uimafit,99.73,1055
incubator-retired-wave,https://github.com/apache/incubator-retired-wave,97.96,406
jclouds,https://github.com/apache/jclouds,99.44,10898
jackrabbit-filevault,https://github.com/apache/jackrabbit-filevault,99.76,1123
jackrabbit-ocm,https://github.com/apache/jackrabbit-ocm,100.00,395
cxf,https://github.com/apache/cxf,99.03,18513
curator,https://github.com/apache/curator,99.30,2849
cxf-build-utils,https://github.com/apache/cxf-build-utils,100.00,323
cxf-dosgi,https://github.com/apache/cxf-dosgi,100.00,810
cxf-fediz,https://github.com/apache/cxf-fediz,99.48,2242
cxf-xjc-utils,https://github.com/apache/cxf-xjc-utils,100.00,382
servicemix,https://github.com/apache/servicemix,97.91,409
archiva-redback-core,https://github.com/apache/archiva-redback-core,98.09,1115
olingo-odata2,https://github.com/apache/olingo-odata2,99.89,940
olingo-odata4,https://github.com/apache/olingo-odata4,99.90,1944
maven-indexer,https://github.com/apache/maven-indexer,99.80,647
flex-blazeds,https://github.com/apache/flex-blazeds,100.00,172
gora,https://github.com/apache/gora,99.28,1422
pinot,https://github.com/apache/pinot,97.33,12615
hbase,https://github.com/apache/hbase,95.81,20394
portals-pluto,https://github.com/apache/portals-pluto,95.91,2990
ant-antlibs-compress,https://github.com/apache/ant-antlibs-compress,100.00,322
ant-antlibs-dotnet,https://github.com/apache/ant-antlibs-dotnet,96.49,85
ant-antlibs-props,https://github.com/apache/ant-antlibs-props,100.00,65
ant-antlibs-vss,https://github.com/apache/ant-antlibs-vss,100.00,15
ant-ivyde,https://github.com/apache/ant-ivyde,98.06,849
phoenix,https://github.com/apache/phoenix,97.71,4002
