Commit Hash,Commit Message,Commit Date,Author,Test File,Implementation File,Type
3994a2aa08ef1f5b7de7da9ebcbe61554dac07e4,"ZOOKEEPER-1264: FollowerResyncConcurrencyTest failing intermittently (phunt via camille)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1190358 13f79535-47bb-0310-9956-ffa450edef68",2011-10-28 14:33:29,Camille Fournier,QuorumTest.java,Quorum.java,Not TDD
466b1f019e45d477798455f669c923559f0a24fc,"ZOOKEEPER-1273. Copy'n'pasted unit test (Thomas Koch via phunt)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1195645 13f79535-47bb-0310-9956-ffa450edef68",2011-10-31 20:05:36,Patrick D. Hunt,DataTreeUnitTest.java,DataTreeUnit.java,Not TDD
aa786021bc3939ee79f8fde0a3fbcfbdeff69272,"ZOOKEEPER-1268. problems with read only mode, intermittent test failures and ERRORs in the log (phunt via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1195854 13f79535-47bb-0310-9956-ffa450edef68",2011-11-01 07:15:33,Mahadev Konar,ReadOnlyModeTest.java,ReadOnlyMode.java,Not TDD
50851134a2b4c79f1cd33f0064f2ab641569cdc5,"ZOOKEEPER-1246. Dead code in PrepRequestProcessor catch Exception block (camille)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1196025 13f79535-47bb-0310-9956-ffa450edef68",2011-11-01 14:41:41,Camille Fournier,PrepRequestProcessorTest.java,PrepRequestProcessor.java,Mixed
736e27df12ffab4139aec95207c7fef1ca114509,"ZOOKEEPER-1271. testEarlyLeaderAbandonment failing on solaris - clients not retrying connection (mahadev via phunt)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1196819 13f79535-47bb-0310-9956-ffa450edef68",2011-11-02 21:53:46,Patrick D. Hunt,ClientReconnectTest.java,ClientReconnect.java,Not TDD
73674f77cc30b9b0ed36f0032193362363c54bdd,"ZOOKEEPER-1270. testEarlyLeaderAbandonment failing intermittently, quorum formed, no serving. (Flavio, Camille and Alexander Shraer via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1197891 13f79535-47bb-0310-9956-ffa450edef68",2011-11-05 06:29:01,Mahadev Konar,QuorumPeerMainTest.java,QuorumPeerMain.java,Not TDD
73674f77cc30b9b0ed36f0032193362363c54bdd,"ZOOKEEPER-1270. testEarlyLeaderAbandonment failing intermittently, quorum formed, no serving. (Flavio, Camille and Alexander Shraer via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1197891 13f79535-47bb-0310-9956-ffa450edef68",2011-11-05 06:29:01,Mahadev Konar,Zab1_0Test.java,Zab1_0.java,Not TDD
f8f15de5fe447409a2987262b8e878be224dab25,"ZOOKEEPER-1264. FollowerResyncConcurrencyTest failing intermittently.
ZOOKEEPER-1282. Learner.java not following Zab 1.0 protocol - setCurrentEpoch should be done upon receipt of NEWLEADER (before acking it) and not upon receipt of UPTODATE.
ZOOKEEPER-1291. AcceptedEpoch not updated at leader before it proposes the epoch to followers.


git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1198053 13f79535-47bb-0310-9956-ffa450edef68",2011-11-05 20:57:13,Camille Fournier,Zab1_0Test.java,Zab1_0.java,Not TDD
f8f15de5fe447409a2987262b8e878be224dab25,"ZOOKEEPER-1264. FollowerResyncConcurrencyTest failing intermittently.
ZOOKEEPER-1282. Learner.java not following Zab 1.0 protocol - setCurrentEpoch should be done upon receipt of NEWLEADER (before acking it) and not upon receipt of UPTODATE.
ZOOKEEPER-1291. AcceptedEpoch not updated at leader before it proposes the epoch to followers.


git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1198053 13f79535-47bb-0310-9956-ffa450edef68",2011-11-05 20:57:13,Camille Fournier,FollowerResyncConcurrencyTest.java,FollowerResyncConcurrency.java,Not TDD
fa9e821e91d5c007593f830dcc4553a3f05b1038,"ZOOKEEPER-1208. Ephemeral node not removed after the client session is long gone. (phunt via camille)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1201832 13f79535-47bb-0310-9956-ffa450edef68",2011-11-14 19:18:39,Camille Fournier,PrepRequestProcessorTest.java,PrepRequestProcessor.java,Mixed
fa9e821e91d5c007593f830dcc4553a3f05b1038,"ZOOKEEPER-1208. Ephemeral node not removed after the client session is long gone. (phunt via camille)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1201832 13f79535-47bb-0310-9956-ffa450edef68",2011-11-14 19:18:39,Camille Fournier,SessionInvalidationTest.java,SessionInvalidation.java,Not TDD
9553f94271ee3debdf431b33f669f4feade30126,"ZOOKEEPER-1305. zookeeper.c:prepend_string func can dereference null ptr. (Daniel Lescohier via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1212153 13f79535-47bb-0310-9956-ffa450edef68",2011-12-08 21:58:28,Mahadev Konar,TestClient.cc,Client.cc,Not TDD
22e2d238cdae7ff77ae69bcad3876d2f0fd3dd84,"ZOOKEEPER-1319. Missing data after restarting+expanding a cluster. (phunt and breed via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1212578 13f79535-47bb-0310-9956-ffa450edef68",2011-12-09 19:03:26,Mahadev Konar,Zab1_0Test.java,Zab1_0.java,Not TDD
22e2d238cdae7ff77ae69bcad3876d2f0fd3dd84,"ZOOKEEPER-1319. Missing data after restarting+expanding a cluster. (phunt and breed via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1212578 13f79535-47bb-0310-9956-ffa450edef68",2011-12-09 19:03:26,Mahadev Konar,FollowerResyncConcurrencyTest.java,FollowerResyncConcurrency.java,Not TDD
e44601d1249ea70b5bfa514082c714640c6217dd,"ZOOKEEPER-1269. Multi deserialization issues. (Camille Fournier via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1212663 13f79535-47bb-0310-9956-ffa450edef68",2011-12-09 22:15:30,Mahadev Konar,LoadFromLogTest.java,LoadFromLog.java,Not TDD
5040b7eb0e5f2917789a2119da0e3cdbc30bd8c1,"ZOOKEEPER-1220 - minor fixup (formatting) to the previously applied 1220 patch

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1214528 13f79535-47bb-0310-9956-ffa450edef68",2011-12-14 22:58:16,Patrick D. Hunt,ZooKeeperTest.java,ZooKeeper.java,Not TDD
c85f61aee240e03fdebb31ce094f5b7c07619e34,"ZOOKEEPER-1333. NPE in FileTxnSnapLog when restarting a cluster. (Patrick Hunt via mahadev)

git-svn-id: https://svn.apache.org/repos/asf/zookeeper/trunk@1221868 13f79535-47bb-0310-9956-ffa450edef68",2011-12-21 20:39:33,Mahadev Konar,LoadFromLogTest.java,LoadFromLog.java,Not TDD
